row_index,actual_price_idr,base_value_log1p_price,predicted_log1p_price,fac_kolam_renang,fac_ac,fac_shower,fac_jemput_bandara,fac_televisi,fac_resepsionis_24jam,fac_laundry,fac_restoran,fac_brankas,fac_bar,fac_bebas_rokok,fac_keamanan,fac_spa,fac_concierge,fac_lift,fac_pijat,fac_dokter,fac_gym,fac_kolam_renang_pribadi,fac_kursi_roda,fac_porter,fac_smart_tv,fac_makanan_halal,fac_streaming,fac_sarapan,fac_bidet,fac_ruang_konferensi,rating,review_count,star,regency_Badung,regency_Bangli,regency_Buleleng,regency_Denpasar,regency_Gianyar,regency_Jembrana,regency_Klungkung,regency_Other,regency_Tabanan,category_Apartemen,category_Glamping,category_Guest House,category_Hostel,category_Hotel,category_Hotel Privat,category_Other,category_Resort,category_Resort Villa,category_Villa
21,2552600.0,14.040013,15.027116,0.027608765,-0.013900843,-0.022103865,0.007857141,0.0033138995,-0.0034119266,0.009174567,0.0029507463,-0.022794932,0.015210601,-0.0029594314,-0.0023097433,0.016505666,0.03486384,0.014569819,-0.0021074223,0.017111374,0.089235365,-0.08783892,0.004565973,-0.011426964,0.0007802648,-0.00086632767,-0.0006550297,0.00096918055,-7.572829e-05,0.0,0.3099416,0.074237764,0.6045109,0.0011099937,0.0,0.0,0.00024670849,-0.0012207818,-0.00020731974,0.0,0.0,0.0046513705,0.00028589036,0.0,0.00037725104,0.0,-0.029295828,0.0,0.000995222,-0.051962495,-0.00054142997,-0.00029263122
22,163359.0,14.040013,12.064139,-0.26361173,-0.017811663,-0.016460389,-0.014087429,0.0016825969,-0.013004615,-0.026714716,0.0032147183,-0.0235267,-0.04980309,-0.002264158,-0.0012729513,0.0028983,-0.018997135,-0.013347934,0.0013201877,-0.002999131,-0.03193951,-0.07639369,-0.0018040091,-0.0016537545,-0.0013743018,0.00045193176,-0.0010149524,0.0009609079,-7.572829e-05,0.0,-0.41509512,0.00049957307,-0.9395498,-0.009495972,0.0,0.0,-0.0022583317,-0.003912441,-0.002319105,0.0,0.0,0.0015741332,0.0002264511,0.0,0.0007399925,0.0,0.0017209935,0.0,0.00021406858,-0.038133264,-0.00056251814,-0.001893947
23,373140.0,14.040013,13.589104,0.011428065,-0.010314203,-0.023217231,0.0024710107,0.0016969085,-0.0015958215,0.013604641,0.0024234552,0.013858688,0.04721745,-0.011267514,-0.0023097433,0.009363053,0.023524884,-0.008008828,1.9892119e-05,0.006899068,0.05412131,-0.07783556,0.0038655843,-0.003420226,-0.0007574891,-0.0033878984,-0.0027225586,-0.006640332,9.087395e-05,0.0,0.07275938,-0.053998943,-0.43728894,-0.002220423,0.0,0.0,-0.008366092,-0.0015782207,-0.00031145726,0.0,0.0,0.0013922637,0.00022346662,0.0,0.0007399925,0.0,-0.013635922,0.0,0.00034097154,-0.04706324,-0.00053704396,-0.0004731951
24,1566580.0,14.040013,13.758961,0.015726043,0.083221555,0.14321737,0.0022284952,-0.008656891,-0.0090541905,0.011825195,-0.020545688,0.014658563,0.030083196,0.0033436497,-0.0020682714,-0.00031000283,-0.028437851,-0.015251733,-0.0066481642,0.00601884,-0.030377194,-0.03360646,-0.0017856248,-0.0022648738,-0.0030116127,0.001389355,-0.0023985622,0.0017845562,-7.572829e-05,0.0,-0.2566846,0.13949934,-0.3987729,-0.016699087,0.0,0.0,0.0009139428,-0.001830644,-0.0003765675,0.0,0.0,0.0016318483,0.0002904425,0.0,0.0029582288,0.0,0.0059923828,0.0,0.00021406858,0.09311727,-0.0003420682,3.1711126e-05
25,282592.0,14.040013,12.4178505,0.012589897,-0.012813497,-0.023011936,-0.015799195,0.0006815602,-0.00953421,-0.026714716,0.0024305813,0.009959362,-0.05207466,-0.0042793076,0.0022185575,-0.006434624,0.019951612,0.008905651,0.0014106578,0.0060633942,-0.026497588,-0.076898746,0.01114817,-0.004561164,-0.0012650777,0.0011350113,-0.0010149524,0.0009609079,9.087395e-05,0.0,-0.304276,-0.09774534,-0.99608874,0.0017650764,0.0,0.0,0.0009139428,-0.003912441,-0.0014790762,0.0,0.0,0.0015791756,0.00020902224,0.0,0.0007399925,0.0,-0.0057343044,0.0,0.00021406858,-0.03149279,-0.00053704396,-0.0029651723
26,10123059.0,14.040013,15.676464,0.030178841,-0.0073818834,-0.01324207,0.00644998,0.0122915935,-0.0034429287,0.010536797,9.645184e-06,-0.008536998,0.011457311,0.0029433698,-0.0014517487,0.014290927,0.02550203,-0.007972662,-0.0013316793,0.019439379,0.19339086,0.14890152,0.0049367957,-0.0038550918,-0.010267069,0.00264776,0.006231461,0.0032655678,-0.00020325187,0.0,0.43812218,0.06624359,0.5687272,-0.002456434,0.0,0.0,0.00024670849,0.006518149,-0.00020731974,0.0,0.0,0.0046513705,0.00028589036,0.0,0.00083498226,0.0,0.012088399,0.0,0.000995222,0.100350104,-0.00036023755,0.005622714
27,364608.0,14.040013,13.1430645,0.012489708,-0.010611185,-0.020661248,-0.014776028,0.0001171591,-0.0018068573,0.0114923585,0.002598305,0.009473651,0.03885925,0.0067413803,0.004939704,0.0069507807,-0.012184803,0.009800876,0.00072754425,-0.004309015,0.05044544,-0.078002855,-0.00054356176,-0.0039462834,-0.001103685,0.0011350113,-0.0027225586,0.0012182818,-7.572829e-05,0.0,-0.25798166,-0.11342184,-0.49092865,0.0015161677,0.0,0.0,0.0009139428,-0.0013891017,-0.0003765675,0.0,0.0,0.0014137485,0.00025345292,0.0,0.0007399925,0.0,-0.010470813,0.0,0.00034097154,-0.032071095,-0.00053704396,-0.0011961658
28,340953.0,14.040013,13.04824,0.012658695,-0.010964037,-0.024695583,0.0025926824,0.0015096975,-0.009719616,0.0114923585,0.0024234552,0.009587144,0.03885925,-0.0063282107,0.004939704,-0.006434624,0.014876308,0.008905651,1.9892119e-05,0.0060633942,0.042349484,-0.07687014,-0.00054356176,-0.004178494,-0.0026728017,0.0011350113,-0.0027225586,0.0012182818,-7.572829e-05,0.0,-0.37923685,-0.12989311,-0.45605263,0.0015628552,0.0,0.0,0.0009139428,-0.0014585892,-0.0003765675,0.0,0.0,0.0014137485,0.00022346662,0.0,0.0007399925,0.0,-0.0097747,0.0,0.00021406858,-0.030670378,-0.00053704396,-0.0022673905
29,242940.0,14.040013,12.342419,0.014300644,-0.011982989,-0.018089678,-0.015799195,0.0014234908,-0.00953421,0.0114923585,0.0026054312,0.015097947,-0.05207466,-0.0034573937,-0.0019512541,-0.0067708828,-0.01667341,0.008905651,-0.0009396522,-0.0031341314,-0.028693601,-0.07868232,0.01114817,0.013073754,-0.0021665965,-0.0033878984,-0.0010149524,0.00075017265,-7.572829e-05,0.0,-0.2925787,-0.09464681,-1.0961473,0.0017650764,0.0,0.0,0.00024670849,-0.003912441,-0.0006417504,0.0,0.0,0.0015791756,0.00020902224,0.0,0.0007399925,0.0,-0.0057343044,0.0,0.00021406858,-0.03077986,-0.00053704396,-0.0017390029
30,166400.0,14.040013,12.289159,0.014879054,-0.010752163,-0.017446507,0.0036234164,0.0011709817,-0.00953421,0.0114923585,0.0026054312,0.009959362,-0.05207466,-0.0034573937,0.0022185575,-0.006434624,-0.015954992,-0.0075532394,0.00211831,-0.0031341314,-0.02977208,-0.07718565,-0.0018040091,-0.0042154593,-0.0023807008,0.0011350113,-0.0010149524,0.0009609079,-7.572829e-05,0.0,-0.3180205,-0.08985984,-1.1088715,0.002378566,0.0,0.0,0.00024670849,-0.003912441,-0.0014817792,0.0,0.0,0.0015791756,0.00020902224,0.0,0.0007399925,0.0,-0.0057343044,0.0,0.00021406858,-0.03291012,-0.00053704396,-0.0022673905
